S. No,Root Domain,Country,Traffic (000s),,,,Client's requirement
1,apple.com,United States,"376,920",,,,Will share list of 500 web domains in Excel format
2,www.google.com,,,,,,Search them on https://www.similarweb.com/ and take out “Country” and “Traffic”
3,youtube.com,,,,,,Make sure traffic numbers must be in 000s
4,support.google.com,,,,,,If any information not available then write “NA” in front of it.
5,docs.google.com,,,,,,
6,play.google.com,,,,,,Payout: INR 10$ per hour
7,www.blogger.com,,,,,,
8,microsoft.com,,,,,,
9,plus.google.com,,,,,,
10,adobe.com,,,,,,
11,maps.google.com,,,,,,
12,cloudflare.com,,,,,,
13,wordpress.org,,,,,,
14,linkedin.com,,,,,,
15,en.wikipedia.org,,,,,,
16,youtu.be,,,,,,
17,vimeo.com,,,,,,
18,drive.google.com,,,,,,
19,sites.google.com,,,,,,
20,mozilla.org,,,,,,
21,googleusercontent.com,,,,,,
22,europa.eu,,,,,,
23,accounts.google.com,,,,,,
24,medium.com,,,,,,
25,istockphoto.com,,,,,,
26,facebook.com,,,,,,
27,creativecommons.org,,,,,,
28,vk.com,,,,,,
29,bbc.co.uk,,,,,,
30,github.com,,,,,,
31,amazon.com,,,,,,
32,bp.blogspot.com,,,,,,
33,es.wikipedia.org,,,,,,
34,line.me,,,,,,
35,bbc.com,,,,,,
36,theguardian.com,,,,,,
37,slideshare.net,,,,,,
38,dropbox.com,,,,,,
39,google.fr,,,,,,
40,t.me,,,,,,
41,msn.com,,,,,,
42,www.yahoo.com,,,,,,
43,globo.com,,,,,,
44,live.com,,,,,,
45,mail.ru,,,,,,
46,w3.org,,,,,,
47,developers.google.com,,,,,,
48,google.com.br,,,,,,
49,gstatic.com,,,,,,
50,google.co.jp,,,,,,
51,photos.google.com,,,,,,
52,google.de,,,,,,
53,hugedomains.com,,,,,,
54,nytimes.com,,,,,,
55,whatsapp.com,,,,,,
56,get.google.com,,,,,,
57,paypal.com,,,,,,
58,wikimedia.org,,,,,,
59,who.int,,,,,,
60,forbes.com,,,,,,
61,mail.google.com,,,,,,
62,news.google.com,,,,,,
63,uol.com.br,,,,,,
64,google.co.uk,,,,,,
65,fr.wikipedia.org,,,,,,
66,google.es,,,,,,
67,pt.wikipedia.org,,,,,,
68,policies.google.com,,,,,,
69,myspace.com,,,,,,
70,sedo.com,,,,,,
71,reuters.com,,,,,,
72,dailymotion.com,,,,,,
73,jimdofree.com,,,,,,
74,feedburner.com,,,,,,
75,imdb.com,,,,,,
76,cnn.com,,,,,,
77,nih.gov,,,,,,
78,translate.google.com,,,,,,
79,buydomains.com,,,,,,
80,booking.com,,,,,,
81,goo.gl,,,,,,
82,huffingtonpost.com,,,,,,
83,opera.com,,,,,,
84,rt.com,,,,,,
85,rakuten.co.jp,,,,,,
86,picasaweb.google.com,,,,,,
87,bloomberg.com,,,,,,
88,aol.com,,,,,,
89,draft.blogger.com,,,,,,
90,myaccount.google.com,,,,,,
91,ok.ru,,,,,,
92,thesun.co.uk,,,,,,
93,amazon.de,,,,,,
94,telegram.me,,,,,,
95,mediafire.com,,,,,,
96,files.wordpress.com,,,,,,
97,fb.com,,,,,,
98,washingtonpost.com,,,,,,
99,ebay.com,,,,,,
100,aliexpress.com,,,,,,
101,abril.com.br,,,,,,
102,tinyurl.com,,,,,,
103,abcnews.go.com,,,,,,
104,books.google.com,,,,,,
105,twitter.com,,,,,,
106,webmd.com,,,,,,
107,independent.co.uk,,,,,,
108,office.com,,,,,,
109,id.wikipedia.org,,,,,,
110,android.com,,,,,,
111,hatena.ne.jp,,,,,,
112,google.ru,,,,,,
113,foxnews.com,,,,,,
114,harvard.edu,,,,,,
115,cpanel.com,,,,,,
116,privacyshield.gov,,,,,,
117,ipv4.google.com,,,,,,
118,ft.com,,,,,,
119,amazon.co.jp,,,,,,
120,telegraph.co.uk,,,,,,
121,dailymail.co.uk,,,,,,
122,wired.com,,,,,,
123,search.google.com,,,,,,
124,bing.com,,,,,,
125,amazon.co.uk,,,,,,
126,terra.com.br,,,,,,
127,google.it,,,,,,
128,fandom.com,,,,,,
129,samsung.com,,,,,,
130,code.google.com,,,,,,
131,pinterest.com,,,,,,
132,cdc.gov,,,,,,
133,un.org,,,,,,
134,businessinsider.com,,,,,,
135,issuu.com,,,,,,
136,www.gov.uk,,,,,,
137,news.yahoo.com,,,,,,
138,wikia.com,,,,,,
139,bit.ly,,,,,,
140,de.wikipedia.org,,,,,,
141,ig.com.br,,,,,,
142,steampowered.com,,,,,,
143,wsj.com,,,,,,
144,lefigaro.fr,,,,,,
145,gravatar.com,,,,,,
146,nasa.gov,,,,,,
147,aboutads.info,,,,,,
148,cnet.com,,,,,,
149,archive.org,,,,,,
150,time.com,,,,,,
151,themeforest.net,,,,,,
152,usatoday.com,,,,,,
153,scribd.com,,,,,,
154,dan.com,,,,,,
155,marketingplatform.google.com,,,,,,
156,change.org,,,,,,
157,youronlinechoices.com,,,,,,
158,namecheap.com,,,,,,
159,elpais.com,,,,,,
160,plesk.com,,,,,,
161,www.wix.com,,,,,,
162,cpanel.net,,,,,,
163,networkadvertising.org,,,,,,
164,mirror.co.uk,,,,,,
165,tools.google.com,,,,,,
166,www.livejournal.com,,,,,,
167,amazon.fr,,,,,,
168,yelp.com,,,,,,
169,berkeley.edu,,,,,,
170,search.yahoo.com,,,,,,
171,google.ca,,,,,,
172,hollywoodreporter.com,,,,,,
173,biglobe.ne.jp,,,,,,
174,trustpilot.com,,,,,,
175,sapo.pt,,,,,,
176,www.weebly.com,,,,,,
177,naver.jp,,,,,,
178,cbsnews.com,,,,,,
179,yadi.sk,,,,,,
180,gnu.org,,,,,,
181,google.co.id,,,,,,
182,vice.com,,,,,,
183,ria.ru,,,,,,
184,forms.gle,,,,,,
185,guardian.co.uk,,,,,,
186,www.over-blog.com,,,,,,
187,ru.wikipedia.org,,,,,,
188,e-recht24.de,,,,,,
189,enable-javascript.com,,,,,,
190,espn.com,,,,,,
191,mysql.com,,,,,,
192,scoop.it,,,,,,
193,lemonde.fr,,,,,,
194,abc.net.au,,,,,,
195,news.com.au,,,,,,
196,nginx.org,,,,,,
197,ign.com,,,,,,
198,disqus.com,,,,,,
199,walmart.com,,,,,,
200,imageshack.us,,,,,,
201,loc.gov,,,,,,
202,php.net,,,,,,
203,lg.com,,,,,,
204,elmundo.es,,,,,,
205,storage.googleapis.com,,,,,,
206,netflix.com,,,,,,
207,cisco.com,,,,,,
208,finance.yahoo.com,,,,,,
209,google.co.in,,,,,,
210,bp2.blogger.com,,,,,,
211,addthis.com,,,,,,
212,imageshack.com,,,,,,
213,picasa.google.com,,,,,,
214,shopify.com,,,,,,
215,usnews.com,,,,,,
216,mega.nz,,,,,,
217,bandcamp.com,,,,,,
218,akamaihd.net,,,,,,
219,alibaba.com,,,,,,
220,hm.com,,,,,,
221,deezer.com,,,,,,
222,m.wikipedia.org,,,,,,
223,rapidshare.com,,,,,,
224,mashable.com,,,,,,
225,tes.com,,,,,,
226,it.wikipedia.org,,,,,,
227,depositfiles.com,,,,,,
228,whitehouse.gov,,,,,,
229,pl.wikipedia.org,,,,,,
230,4shared.com,,,,,,
231,welt.de,,,,,,
232,wp.com,,,,,,
233,disney.com,,,,,,
234,eventbrite.com,,,,,,
235,wikihow.com,,,,,,
236,ibm.com,,,,,,
237,stanford.edu,,,,,,
238,doubleclick.net,,,,,,
239,spiegel.de,,,,,,
240,rambler.ru,,,,,,
241,noaa.gov,,,,,,
242,newsweek.com,,,,,,
243,ovh.net,,,,,,
244,000webhost.com,,,,,,
245,stackoverflow.com,,,,,,
246,economist.com,,,,,,
247,twitch.tv,,,,,,
248,mozilla.com,,,,,,
249,oup.com,,,,,,
250,amazon.es,,,,,,
251,nationalgeographic.com,,,,,,
252,asus.com,,,,,,
253,netvibes.com,,,,,,
254,ietf.org,,,,,,
255,ja.wikipedia.org,,,,,,
256,hp.com,,,,,,
257,express.co.uk,,,,,,
258,secureserver.net,,,,,,
259,latimes.com,,,,,,
260,mystrikingly.com,,,,,,
261,detik.com,,,,,,
262,academia.edu,,,,,,
263,nypost.com,,,,,,
264,washington.edu,,,,,,
265,adssettings.google.com,,,,,,
266,surveymonkey.com,,,,,,
267,target.com,,,,,,
268,techcrunch.com,,,,,,
269,instructables.com,,,,,,
270,wiley.com,,,,,,
271,weibo.com,,,,,,
272,iubenda.com,,,,,,
273,bt.com,,,,,,
274,nhk.or.jp,,,,,,
275,smh.com.au,,,,,,
276,nokia.com,,,,,,
277,groups.google.com,,,,,,
278,wa.me,,,,,,
